Date,Actual,Predicted
2024-05-15 00:00:00+00:00,2,2
2022-12-27 00:00:00+00:00,2,2
2022-06-27 00:00:00+00:00,2,2
2022-07-05 00:00:00+00:00,2,2
2022-09-30 00:00:00+00:00,2,0
2024-07-05 00:00:00+00:00,2,1
2024-05-02 00:00:00+00:00,2,2
2022-06-21 00:00:00+00:00,2,2
2023-11-20 00:00:00+00:00,2,2
2023-01-01 00:00:00+00:00,2,2
2023-02-25 00:00:00+00:00,2,2
2022-07-20 00:00:00+00:00,2,2
2023-10-16 00:00:00+00:00,2,2
2024-10-14 00:00:00+00:00,2,2
2023-03-05 00:00:00+00:00,2,2
2023-12-25 00:00:00+00:00,2,2
2023-06-14 00:00:00+00:00,2,0
2022-11-09 00:00:00+00:00,2,0
2024-10-21 00:00:00+00:00,2,2
2024-09-04 00:00:00+00:00,2,0
2022-07-26 00:00:00+00:00,2,2
2024-10-19 00:00:00+00:00,2,2
2023-01-03 00:00:00+00:00,2,2
2022-03-06 00:00:00+00:00,2,2
2023-03-15 00:00:00+00:00,2,2
2024-07-04 00:00:00+00:00,2,1
2024-01-29 00:00:00+00:00,2,2
2023-10-29 00:00:00+00:00,2,2
2022-03-15 00:00:00+00:00,2,2
2023-11-26 00:00:00+00:00,2,0
2022-10-08 00:00:00+00:00,2,2
2022-06-25 00:00:00+00:00,2,2
2024-01-23 00:00:00+00:00,2,0
2024-01-30 00:00:00+00:00,2,2
2024-02-05 00:00:00+00:00,2,2
2024-10-25 00:00:00+00:00,2,0
2023-11-28 00:00:00+00:00,2,2
2023-01-07 00:00:00+00:00,2,2
2024-02-02 00:00:00+00:00,2,2
2023-10-12 00:00:00+00:00,2,2
2022-07-10 00:00:00+00:00,2,2
2023-11-13 00:00:00+00:00,2,2
2023-03-08 00:00:00+00:00,2,2
2024-02-01 00:00:00+00:00,2,2
2022-03-07 00:00:00+00:00,2,2
2023-06-15 00:00:00+00:00,2,0
2022-12-31 00:00:00+00:00,2,2
2024-02-06 00:00:00+00:00,2,2
2024-01-25 00:00:00+00:00,2,2
2023-03-03 00:00:00+00:00,2,1
2024-02-21 00:00:00+00:00,2,2
2024-09-05 00:00:00+00:00,2,0
2023-11-01 00:00:00+00:00,2,2
2023-11-08 00:00:00+00:00,2,2
2023-11-12 00:00:00+00:00,2,1
2022-07-07 00:00:00+00:00,2,2
2023-06-16 00:00:00+00:00,2,0
2024-04-30 00:00:00+00:00,2,1
2022-12-17 00:00:00+00:00,2,2
2023-06-10 00:00:00+00:00,2,0
2024-02-04 00:00:00+00:00,2,2
2023-03-20 00:00:00+00:00,2,2
2024-10-20 00:00:00+00:00,2,2
2024-01-26 00:00:00+00:00,2,2
2024-02-16 00:00:00+00:00,2,2
2022-10-04 00:00:00+00:00,2,2
2022-12-29 00:00:00+00:00,2,2
2024-02-07 00:00:00+00:00,2,2
2024-05-08 00:00:00+00:00,2,2
2023-03-12 00:00:00+00:00,2,1
2023-01-04 00:00:00+00:00,2,2
2023-01-13 00:00:00+00:00,2,2
2023-03-24 00:00:00+00:00,2,2
2024-02-12 00:00:00+00:00,2,2
2023-03-18 00:00:00+00:00,2,2
2022-03-10 00:00:00+00:00,2,2
2024-04-27 00:00:00+00:00,2,1
2024-02-22 00:00:00+00:00,2,2
2022-07-04 00:00:00+00:00,2,2
2022-07-23 00:00:00+00:00,2,2
2024-04-26 00:00:00+00:00,2,1
2023-10-05 00:00:00+00:00,2,2
2023-10-10 00:00:00+00:00,2,2
2024-04-29 00:00:00+00:00,2,1
2024-10-23 00:00:00+00:00,2,2
2023-03-19 00:00:00+00:00,2,2
2023-10-08 00:00:00+00:00,2,2
